recipients,donors,transconjugants,segregadas,adaptations_number,cycle
403304,495847,50745,104,0,6478752
371725,503947,74141,187,0,9691060
345904,513879,90033,184,0,12817531
323596,524859,101347,198,0,15967539
303525,536853,109425,197,0,19136378
284968,549819,115006,207,0,22314795
267459,563376,118920,245,0,25506252
250633,578206,120908,253,0,28704022
234818,592717,122192,273,0,31894784
219676,607634,122375,315,0,35092628
205128,622854,121726,292,0,38280506
191704,637728,120293,275,0,41474311
179154,652505,118076,265,0,44659300
167189,667244,115279,288,0,47837088
155120,682200,112362,318,0,51014213
144323,696443,108926,308,0,54185547
134451,710089,105170,290,0,57362256
124837,723262,101620,281,0,60510937
115493,736075,98148,284,0,63669741
106603,748667,94463,267,0,66832188
98625,760953,90161,261,0,69975166
90882,772954,85895,269,0,73116041
83616,784437,81675,272,0,76251267
76575,795633,77512,280,0,79376900
70399,805855,73480,266,0,82499430
64209,815686,69819,286,0,85616444
58720,825324,65664,292,0,88715094
53883,833741,62063,313,0,91805763
49027,841904,58766,303,0,94889496
44549,849629,55495,327,0,97986779
40491,857428,51794,287,0,101072983
36926,864378,48418,278,0,104148819
33472,870851,45399,278,0,107215572
30478,876899,42370,253,0,110273629
27434,882912,39398,256,0,113335049
24651,888090,37001,258,0,116380850
22005,893064,34678,253,0,119430045
19873,897784,32098,245,0,122472981
17691,902330,29710,269,0,125511227
15982,906323,27435,260,0,128557667
14552,909949,25259,240,0,131593776
12867,913444,23457,232,0,134617559
11529,916535,21704,232,0,137652812
10379,919663,19736,222,0,140692001
9180,922380,18217,223,0,143706367
8238,924769,16783,210,0,146734139
7277,927087,15413,223,0,149749671
6385,929347,14079,189,0,152769314
5674,931110,13015,201,0,155782000
4938,932673,12153,236,0,158798474
4240,934236,11301,223,0,161818314
3748,935599,10469,184,0,164848572
3335,936945,9521,199,0,167853780
2965,937978,8841,216,0,170863600
2558,939062,8200,180,0,173882127
2268,939980,7540,212,0,176885667
1981,940783,7010,226,0,179881981
1742,941507,6539,212,0,182897432
1472,942270,6070,188,0,185912195
1280,942899,5615,206,0,188918568
1034,943480,5274,212,0,191920028
871,943971,4959,199,0,194921525
717,944321,4801,161,0,197926132
672,944611,4520,197,0,200940371
522,945021,4239,218,0,203947002
452,945305,4037,206,0,206941388
336,945705,3729,230,0,209940830
282,945833,3684,201,0,212936250
228,946098,3468,206,0,215933445
177,946261,3341,221,0,218930168
143,946339,3334,184,0,221926542
127,946477,3200,196,0,224927940
104,946606,3086,204,0,227936543
95,946687,3031,187,0,230938767
100,946736,2982,182,0,233944386
74,946951,2803,172,0,236950791
41,947187,2584,188,0,239944331
31,947211,2561,197,0,242938427
19,947247,2550,184,0,245940529
15,947190,2583,212,0,248929387
3,947231,2558,208,0,251937021
1,947254,2560,185,0,254944242
0,947311,2463,226,0,257943812
0,947287,2508,205,0,260944889
0,947354,2452,194,0,263943364
0,947397,2399,204,0,266940416
0,947373,2432,195,0,269928796
0,947366,2396,238,0,272931605
0,947478,2306,216,0,275926423
0,947485,2324,191,0,278924782
0,947541,2283,176,0,281932671
0,947483,2300,217,0,284928040
0,947497,2314,189,0,287933420
0,947460,2338,202,0,290945372
0,947450,2343,207,0,293943471
0,947485,2329,186,0,296936066
0,947388,2408,204,0,299930363
0,947371,2411,218,0,302918606
0,947428,2381,191,0,305920162
0,947441,2336,223,0,308919476
0,947428,2378,194,0,311928496
0,947482,2321,197,0,314909425
0,947442,2366,192,0,317892046
0,947437,2356,207,0,320895248
0,947465,2338,197,0,323895524
0,947497,2290,213,0,326885118
0,947474,2339,187,0,329888681
0,947493,2333,174,0,332890203
0,947542,2264,194,0,335880405
0,947516,2291,193,0,338891499
0,947513,2292,195,0,341874971
0,947495,2292,213,0,344877884
0,947551,2262,187,0,347885152
0,947529,2233,238,0,350891287
0,947389,2406,205,0,353903054
0,947386,2396,218,0,356900803
0,947472,2355,173,0,359897719
0,947450,2357,193,0,362892763
0,947442,2363,195,0,365880067
0,947431,2379,190,0,368889153
0,947460,2368,172,0,371890821
0,947442,2374,184,0,374906680
0,947465,2312,223,0,377906503
0,947461,2310,229,0,380906198
0,947540,2255,205,0,383901984
0,947506,2297,197,0,386899708
0,947475,2347,178,0,389902148
0,947501,2287,212,0,392890105
0,947470,2345,185,0,395887196
0,947393,2443,164,0,398890193
0,947448,2358,194,0,401882483
0,947479,2311,210,0,404882765
0,947386,2392,222,0,407888840
0,947411,2373,216,0,410884247
0,947381,2407,212,0,413885589
0,947376,2443,181,0,416886704
0,947510,2326,164,0,419885456
0,947549,2258,193,0,422886980
0,947496,2318,186,0,425892119
0,947526,2273,201,0,428887853
0,947601,2200,199,0,431889393
0,947475,2306,219,0,434898096
0,947496,2287,217,0,437899016
0,947379,2410,211,0,440898231
0,947423,2395,182,0,443896600
0,947394,2397,209,0,446891990
0,947311,2491,198,0,449887991
0,947307,2493,200,0,452894997
0,947349,2436,215,0,455894847
0,947425,2358,217,0,458883776
0,947434,2343,223,0,461885959
0,947432,2338,230,0,464884976
0,947426,2366,208,0,467883540
0,947450,2329,221,0,470877125
0,947523,2273,204,0,473861960
0,947520,2269,211,0,476862554
0,947520,2276,204,0,479850895
0,947662,2141,197,0,482847588
0,947603,2179,218,0,485850633
0,947592,2177,231,0,488843118
0,947588,2213,199,0,491850141
0,947471,2308,221,0,494857382
0,947510,2285,205,0,497850463
0,947479,2339,182,0,500855469
0,947443,2366,191,0,503852109
0,947441,2366,193,0,506848848
0,947513,2317,170,0,509855169
0,947355,2442,203,0,512852406
0,947330,2481,189,0,515851316
0,947454,2353,193,0,518850478
0,947439,2348,213,0,521853942
