recipients,donors,transconjugants,segregadas,adaptations_number,cycle
457101,438057,54752,90,0,6741586
428323,441476,80056,145,0,10093136
404555,447013,98268,164,0,13404428
384351,454235,111194,220,0,16740963
366365,462557,120857,221,0,20104730
350614,471548,127589,249,0,23480780
336153,481325,132294,228,0,26875487
321991,491549,136250,210,0,30282960
308219,501883,139668,230,0,33703966
295619,512717,141403,261,0,37122781
283636,523815,142280,269,0,40562781
271705,535379,142619,297,0,43990134
260752,547128,141834,286,0,47417735
249419,558581,141668,332,0,50856510
239500,569554,140584,362,0,54299036
228727,581013,139887,373,0,57747956
218470,593103,138059,368,0,61209005
208555,604531,136537,377,0,64668947
199070,616649,133880,401,0,68128755
189796,628509,131233,462,0,71577579
180993,640231,128324,452,0,75027458
172019,652051,125483,447,0,78474894
163206,662789,123585,420,0,81923067
155608,673699,120284,409,0,85378401
147867,684332,117430,371,0,88817530
140495,695327,113806,372,0,92262677
133359,705644,110668,329,0,95701759
126544,715282,107814,360,0,99156079
119978,725072,104610,340,0,102606627
113320,735330,100978,372,0,106044451
107103,744911,97583,403,0,109477301
101548,753566,94493,393,0,112917119
95938,762817,90879,366,0,116318031
90761,771197,87686,356,0,119750127
85542,779612,84537,309,0,123167335
80688,787520,81465,327,0,126576037
75929,795031,78679,361,0,129999797
71341,802483,75835,341,0,133417542
66897,810210,72541,352,0,136819072
62564,817447,69697,292,0,140216970
58599,823915,67118,368,0,143627140
54752,830694,64239,315,0,147026313
50965,837062,61601,372,0,150419765
47440,842827,59372,361,0,153828268
44283,848393,57012,312,0,157228169
41249,853786,54650,315,0,160618918
38126,859407,52143,324,0,164006977
35511,864526,49655,308,0,167401308
33098,869438,47197,267,0,170787389
30713,874313,44748,226,0,174169708
28429,878900,42450,221,0,177539072
26393,882971,40417,219,0,180912310
24532,887296,37963,209,0,184269833
22592,890943,36219,246,0,187642264
20892,894555,34341,212,0,191012514
19316,898172,32288,224,0,194386313
17899,901676,30196,229,0,197751336
16598,904468,28715,219,0,201114089
15246,907472,27057,225,0,204476056
13829,910238,25720,213,0,207822236
12555,912931,24303,211,0,211178421
11414,915276,23105,205,0,214549794
10497,917380,21915,208,0,217919550
9713,919199,20886,202,0,221283431
8877,921312,19591,220,0,224618767
8048,923448,18280,224,0,227969930
7321,925221,17227,231,0,231327573
6616,926995,16167,222,0,234691457
6210,928254,15337,199,0,238034875
5683,929597,14520,200,0,241384708
5212,930806,13781,201,0,244734868
4750,932240,12810,200,0,248086359
4256,933352,12193,199,0,251427717
3880,934379,11556,185,0,254770792
3436,935278,11073,213,0,258110594
3176,936403,10225,196,0,261467338
2945,937092,9743,220,0,264806189
2574,938006,9218,202,0,268142835
2330,938848,8636,186,0,271464505
2029,939592,8199,180,0,274799751
1867,940268,7663,202,0,278138250
1681,940885,7218,216,0,281473469
1534,941372,6900,194,0,284810798
1362,941953,6496,189,0,288141384
1277,942368,6154,201,0,291456805
1120,942768,5916,196,0,294786012
959,942978,5866,197,0,298118738
886,943356,5586,172,0,301458766
777,943610,5430,183,0,304795785
729,943843,5233,195,0,308137060
656,944165,5002,177,0,311479297
595,944439,4781,185,0,314822564
579,944743,4470,208,0,318151223
517,944782,4478,223,0,321491548
449,944846,4512,193,0,324831595
389,944847,4561,203,0,328173730
343,945221,4265,171,0,331515528
294,945352,4159,195,0,334850027
236,945402,4170,192,0,338198447
179,945483,4120,218,0,341528261
182,945479,4125,214,0,344858824
163,945646,4003,188,0,348189127
121,945763,3922,194,0,351520388
85,945920,3822,173,0,354848906
63,946103,3656,178,0,358189747
52,946230,3510,208,0,361526113
49,946299,3445,207,0,364863161
46,946433,3322,199,0,368192466
27,946496,3283,194,0,371513769
16,946484,3297,203,0,374843902
2,946610,3215,173,0,378163236
0,946558,3217,225,0,381487431
0,946483,3329,188,0,384810098
0,946519,3305,176,0,388139166
0,946619,3203,178,0,391473172
0,946608,3193,199,0,394807140
0,946655,3154,191,0,398135944
0,946645,3161,194,0,401476016
0,946652,3104,244,0,404798892
0,946738,3043,219,0,408114642
0,946667,3111,222,0,411434443
0,946688,3104,208,0,414761338
0,946670,3140,190,0,418090524
0,946599,3185,216,0,421428216
0,946727,3086,187,0,424756877
0,946799,3036,165,0,428097264
0,946800,2989,211,0,431436126
0,946864,2934,202,0,434750190
0,946724,3058,218,0,438088491
0,946686,3102,212,0,441434678
0,946730,3076,194,0,444757186
0,946755,3080,165,0,448094529
0,946626,3175,199,0,451425803
0,946680,3137,183,0,454758199
0,946665,3127,208,0,458091041
0,946688,3098,214,0,461412064
0,946732,3049,219,0,464739527
0,946818,2992,190,0,468084604
0,946809,2994,197,0,471416864
0,946841,2974,185,0,474757557
0,946874,2912,214,0,478093620
0,946876,2906,218,0,481428309
0,946757,3039,204,0,484746981
0,946843,2965,192,0,488069067
0,946864,2959,177,0,491391558
0,946955,2864,181,0,494708078
0,946938,2884,178,0,498047766
0,946953,2839,208,0,501384995
0,946908,2889,203,0,504725786
0,946880,2940,180,0,508055303
0,946765,3004,231,0,511388082
0,946847,2950,203,0,514699317
0,946835,2949,216,0,518032325
0,946822,2979,199,0,521364276
0,946722,3092,186,0,524679138
0,946749,3046,205,0,528016661
0,946703,3091,206,0,531335781
0,946686,3119,195,0,534673260
0,946577,3208,215,0,537999452
0,946587,3210,203,0,541324308
0,946640,3162,198,0,544652401
0,946611,3159,230,0,547977245
0,946688,3091,221,0,551309896
0,946748,3050,202,0,554636538
0,946765,3021,214,0,557977729
0,946769,3054,177,0,561308584
0,946924,2879,197,0,564643738
0,946953,2822,225,0,567974009
0,946884,2919,197,0,571305069
0,946936,2874,190,0,574637328
0,946890,2895,215,0,577986092
0,946907,2874,219,0,581319862
0,946873,2919,208,0,584641831
0,946884,2927,189,0,587972694
0,946930,2887,183,0,591295911
0,946863,2943,194,0,594640734
0,946941,2877,182,0,597972550
0,946937,2858,205,0,601313088
0,946956,2842,202,0,604641902
0,947023,2780,197,0,607982525
0,946934,2855,211,0,611301919
0,946825,2968,207,0,614635338
0,946796,3021,183,0,617965691
0,946852,2906,242,0,621290184
0,946829,2960,211,0,624620828
0,946700,3099,201,0,627962810
0,946793,3013,194,0,631299691
0,946812,2984,204,0,634636317
0,946847,2942,211,0,637973080
0,946839,2944,217,0,641302078
0,946869,2938,193,0,644640197
0,946901,2878,221,0,647970266
0,946882,2902,216,0,651308021
0,946837,2970,193,0,654644262
0,946900,2904,196,0,657967867
0,947022,2789,189,0,661287367
0,947137,2692,171,0,664615208
0,947107,2710,183,0,667943927
0,947129,2696,175,0,671259700
0,947045,2755,200,0,674579233
0,946973,2788,239,0,677889482
0,947017,2802,181,0,681203794
0,946829,2990,181,0,684534430
0,946781,3013,206,0,687864885
0,946706,3082,212,0,691191841
0,946701,3109,190,0,694511536
0,946778,3001,221,0,697848579
