recipients,donors,transconjugants,segregadas,adaptations_number,cycle
949003,961,36,0,0,6306337
948958,988,54,0,0,9399932
948936,997,66,1,0,12403567
948897,1024,78,1,0,15390534
948893,1018,89,0,0,18399375
948858,1023,118,1,0,21407108
948836,1018,144,2,0,24402581
948837,982,172,9,0,27386422
948797,1008,179,16,0,30384035
948791,1001,183,25,0,33374962
948811,964,193,32,0,36369267
948798,970,204,28,0,39358281
948774,1023,175,28,0,42357115
948715,1068,190,27,0,45358966
948687,1093,186,34,0,48361105
948676,1116,172,36,0,51360374
948658,1136,177,29,0,54369922
948586,1207,175,32,0,57373014
948525,1228,204,43,0,60369274
948521,1236,198,45,0,63363909
948438,1317,201,44,0,66361824
948397,1350,207,46,0,69355200
948389,1318,247,46,0,72339668
948361,1343,251,45,0,75333298
948307,1408,245,40,0,78328865
948299,1441,218,42,0,81326475
948259,1470,242,29,0,84332214
948216,1498,256,30,0,87335558
948186,1531,256,27,0,90332955
948116,1570,276,38,0,93341058
948078,1616,263,43,0,96333859
948002,1683,266,49,0,99335282
947945,1744,279,32,0,102338115
947906,1780,280,34,0,105331605
947824,1836,293,47,0,108330168
947852,1812,285,51,0,111329801
947787,1856,306,51,0,114323253
947738,1869,341,52,0,117331248
947671,1975,309,45,0,120331699
947577,2028,335,60,0,123324023
947575,2027,344,54,0,126311522
947538,2097,310,55,0,129298034
947512,2122,316,50,0,132289268
947419,2232,311,38,0,135282450
947364,2278,318,40,0,138275396
947334,2284,335,47,0,141272467
947304,2324,328,44,0,144269413
947275,2340,337,48,0,147255940
947301,2319,342,38,0,150256194
947263,2327,375,35,0,153243364
947180,2424,369,27,0,156239637
947148,2455,368,29,0,159224416
947095,2541,343,21,0,162224370
947008,2629,347,16,0,165213688
946943,2691,352,14,0,168209096
946836,2752,402,10,0,171206385
946774,2830,385,11,0,174196664
946831,2802,361,6,0,177187763
946853,2805,337,5,0,180190848
946846,2808,339,7,0,183188317
946773,2881,338,8,0,186179987
946743,2896,356,5,0,189183611
946725,2940,332,3,0,192181500
946636,2993,368,3,0,195179779
946595,2995,403,7,0,198177756
946528,3077,383,12,0,201173892
946463,3162,365,10,0,204171665
946461,3164,355,20,0,207175418
946391,3211,381,17,0,210157485
946293,3314,371,22,0,213151137
946216,3377,391,16,0,216151372
946130,3436,414,20,0,219151625
946106,3492,383,19,0,222136760
946072,3534,379,15,0,225121458
946116,3517,350,17,0,228111477
946010,3577,393,20,0,231111750
946017,3550,400,33,0,234101692
945924,3656,386,34,0,237100760
945862,3691,408,39,0,240092355
945795,3736,432,37,0,243081383
945736,3791,436,37,0,246087935
945623,3908,424,45,0,249086499
945620,3912,425,43,0,252085165
945556,3990,399,55,0,255088681
945503,4004,438,55,0,258087538
945438,4091,424,47,0,261086670
