recipients,donors,transconjugants,segregadas,adaptations_number,cycle
11281,933200,1209,4310,0,7078665
11063,932695,1765,4477,0,10509817
10816,932424,2288,4472,0,13847358
10679,932021,2825,4475,0,17171694
10315,931792,3422,4471,0,20494372
10121,931575,3856,4448,0,23799725
9823,931415,4319,4443,0,27114660
9655,931356,4732,4257,0,30443932
9494,931123,5262,4121,0,33770583
9343,930791,5716,4150,0,37103940
9135,930808,5947,4110,0,40425945
9103,930394,6294,4209,0,43751955
8949,930494,6506,4051,0,47079019
8766,930502,6746,3986,0,50395325
8724,930442,6832,4002,0,53720276
8598,930228,7086,4088,0,57038400
8492,930421,7087,4000,0,60363518
8269,930690,7288,3753,0,63698225
8106,930551,7559,3784,0,67017828
7944,930414,7800,3842,0,70331958
7912,930482,7917,3689,0,73661869
7632,930411,8255,3702,0,76990925
7527,930376,8378,3719,0,80313967
7592,930122,8648,3638,0,83642688
7484,930422,8599,3495,0,86980490
7333,930476,8817,3374,0,90312080
7285,930476,8976,3263,0,93632018
7126,930498,9248,3128,0,96960606
6993,930572,9247,3188,0,100287725
6929,930475,9338,3258,0,103608219
6733,930622,9388,3257,0,106946968
6569,930575,9666,3190,0,110268446
6422,930613,9740,3225,0,113600751
6298,930771,9750,3181,0,116917454
6057,930973,9781,3189,0,120247978
5989,930914,9776,3321,0,123562641
5922,931030,9667,3381,0,126894339
5920,931050,9608,3422,0,130213224
5776,931372,9429,3423,0,133545870
5797,931419,9233,3551,0,136873715
5776,931291,9502,3431,0,140199989
5664,931529,9505,3302,0,143527937
5707,931556,9474,3263,0,146832670
5592,931701,9495,3212,0,150166805
5471,931776,9575,3178,0,153498879
5352,931719,9693,3236,0,156829933
5273,932003,9445,3279,0,160152919
5236,931905,9508,3351,0,163473456
5140,931990,9562,3308,0,166804707
5067,932291,9481,3161,0,170128141
5040,932238,9481,3241,0,173459331
4939,932128,9591,3342,0,176787961
4848,932440,9298,3414,0,180103793
4834,932618,9070,3478,0,183429543
4860,932665,9139,3336,0,186762445
4702,932773,9212,3313,0,190097213
4644,933002,9105,3249,0,193423808
4522,933316,9115,3047,0,196751047
4440,933533,8921,3106,0,200079190
4318,933617,8949,3116,0,203408596
4242,933662,8859,3237,0,206735100
4096,933946,8718,3240,0,210062633
4035,934158,8562,3245,0,213381897
4048,934407,8452,3093,0,216716782
4010,934392,8532,3066,0,220048004
4015,934665,8478,2842,0,223373708
3880,934824,8425,2871,0,226704270
3824,934882,8355,2939,0,230025085
3812,935034,8233,2921,0,233349155
3793,934994,8386,2827,0,236674981
3610,935110,8484,2796,0,240012589
3611,935098,8371,2920,0,243324541
3476,935369,8355,2800,0,246653567
3470,935255,8398,2877,0,249982932
3387,935293,8421,2899,0,253303605
3308,935447,8328,2917,0,256628199
3382,935501,8313,2804,0,259957809
3247,935569,8360,2824,0,263278319
3180,935670,8292,2858,0,266600179
3082,935618,8402,2898,0,269931683
3060,935637,8361,2942,0,273251882
3026,935756,8262,2956,0,276591626
3051,935883,8060,3006,0,279917099
2979,935640,8254,3127,0,283249701
2910,935649,8369,3072,0,286573706
2837,935677,8342,3144,0,289891034
2785,935627,8472,3116,0,293212647
2816,935825,8354,3005,0,296538199
2825,935680,8509,2986,0,299866878
2810,935681,8560,2949,0,303187363
2757,935882,8510,2851,0,306501237
2733,935837,8606,2824,0,309835549
2727,935965,8479,2829,0,313172836
2780,936203,8261,2756,0,316501571
2781,935931,8372,2916,0,319828488
2717,935888,8518,2877,0,323154468
2670,935962,8467,2901,0,326476716
2546,936092,8570,2792,0,329804756
2538,936135,8516,2811,0,333117531
2536,936108,8579,2777,0,336447003
2556,935950,8643,2851,0,339770808
2490,935969,8725,2816,0,343099506
2438,936054,8655,2853,0,346415586
2423,935946,8741,2890,0,349743120
2403,936071,8873,2653,0,353052534
2326,936096,8940,2638,0,356385673
2236,936192,8900,2672,0,359721518
2159,936288,8868,2685,0,363038086
2131,936029,8995,2845,0,366356234
2091,936110,8811,2988,0,369661345
2112,935895,8916,3077,0,372989661
2080,936050,8822,3048,0,376311282
2036,936265,8588,3111,0,379630749
1992,936450,8520,3038,0,382952887
1955,936567,8470,3008,0,386292092
1981,936645,8307,3067,0,389607005
1958,936694,8198,3150,0,392939032
1961,936723,8176,3140,0,396258480
1914,936867,8001,3218,0,399594923
1826,937090,7991,3093,0,402936907
1718,937279,7915,3088,0,406266947
1709,937192,8044,3055,0,409586123
1764,937124,8038,3074,0,412924675
1686,937041,8199,3074,0,416246701
1669,936904,8363,3064,0,419578937
1721,936853,8335,3091,0,422914657
1732,936916,8385,2967,0,426239650
1673,936846,8411,3070,0,429574262
1665,936808,8425,3102,0,432906962
1577,936872,8446,3105,0,436242093
1549,936994,8435,3022,0,439573619
1512,937170,8334,2984,0,442897748
1527,937293,8283,2897,0,446221025
1492,937483,8162,2863,0,449545877
1507,937510,8116,2867,0,452865114
1476,937496,8184,2844,0,456187875
1462,937643,8217,2678,0,459514764
1447,937715,8129,2709,0,462838798
1423,937910,8045,2622,0,466171044
1423,937824,8114,2639,0,469506243
1386,937816,8267,2531,0,472833536
1398,937950,8126,2526,0,476165399
1376,937951,8194,2479,0,479499883
1357,937773,8241,2629,0,482835239
1341,937737,8229,2693,0,486173352
1362,937696,8236,2706,0,489508940
1301,937798,8262,2639,0,492828689
1247,937822,8403,2528,0,496168612
1161,938012,8326,2501,0,499495015
1163,938122,8309,2406,0,502821590
1116,938013,8361,2510,0,506149984
1106,938107,8377,2410,0,509473252
1078,937998,8416,2508,0,512804322
1095,937938,8526,2441,0,516120112
1095,937801,8553,2551,0,519446282
1031,937751,8591,2627,0,522766759
1005,937903,8606,2486,0,526087269
993,937821,8641,2545,0,529413689
960,937846,8517,2677,0,532730654
973,937783,8550,2694,0,536061858
979,937716,8597,2708,0,539391538
977,937902,8439,2682,0,542722895
1013,938064,8266,2657,0,546053868
1008,938222,8194,2576,0,549393679
998,938257,8168,2577,0,552710606
955,938543,8146,2356,0,556035935
913,938312,8327,2448,0,559366759
912,938258,8334,2496,0,562702464
892,938395,8218,2495,0,566025544
909,938431,8184,2476,0,569349718
907,938222,8284,2587,0,572672180
877,938286,8281,2556,0,575995342
840,938054,8406,2700,0,579315833
813,938187,8446,2554,0,582631913
778,938091,8461,2670,0,585952052
797,938053,8388,2762,0,589289043
818,937953,8363,2866,0,592621801
769,938064,8293,2874,0,595950071
783,938199,8232,2786,0,599282806
785,938160,8171,2884,0,602623779
770,938068,8277,2885,0,605958827
748,938018,8296,2938,0,609287633
764,938058,8239,2939,0,612627218
774,937963,8276,2987,0,615953786
721,938109,8292,2878,0,619260778
686,938086,8380,2848,0,622594517
649,937840,8621,2890,0,625943198
633,938011,8553,2803,0,629242835
599,938095,8597,2709,0,632565835
606,938186,8515,2693,0,635895581
574,938324,8416,2686,0,639227670
565,938173,8486,2776,0,642562403
548,938231,8335,2886,0,645891214
539,938195,8338,2928,0,649225815
536,938157,8388,2919,0,652546846
532,938296,8264,2908,0,655869822
491,938549,8237,2723,0,659199272
453,938837,8047,2663,0,662538909
440,938812,7927,2821,0,665871182
456,938777,7981,2786,0,669198813
402,938885,7856,2857,0,672542310
394,938750,7965,2891,0,675859841
409,938945,7906,2740,0,679179206
418,939048,7832,2702,0,682506049
400,939174,7773,2653,0,685850159
390,939020,7830,2760,0,689192036
372,938879,7900,2849,0,692522587
364,938901,7928,2807,0,695844975
364,938837,7910,2889,0,699176848
335,938812,7954,2899,0,702506480
349,938584,8135,2932,0,705832765
358,938342,8300,3000,0,709154452
333,938286,8393,2988,0,712474919
300,938409,8383,2908,0,715793230
293,938455,8301,2951,0,719115714
277,938708,8132,2883,0,722446871
257,938576,8187,2980,0,725785118
256,938537,8269,2938,0,729115159
238,938540,8315,2907,0,732456420
233,938709,8227,2831,0,735785307
239,938763,8079,2919,0,739114935
210,938514,8202,3074,0,742449484
204,938549,8232,3015,0,745763887
185,938493,8358,2964,0,749090741
155,938520,8392,2933,0,752423787
139,938484,8369,3008,0,755749519
128,938470,8416,2986,0,759085064
123,938344,8537,2996,0,762415540
104,938172,8683,3041,0,765744267
95,938152,8766,2987,0,769079217
85,938283,8687,2945,0,772425079
87,938181,8756,2976,0,775750089
86,938219,8732,2963,0,779074294
109,937944,8982,2965,0,782394650
101,938019,8936,2944,0,785738426
94,937983,9024,2899,0,789064797
79,938029,8989,2903,0,792390478
82,938133,8833,2952,0,795722629
71,938047,8967,2915,0,799030917
63,937919,9047,2971,0,802361432
79,937928,9000,2993,0,805678819
84,937807,9072,3037,0,809006449
87,937810,9053,3050,0,812334796
76,937481,9278,3165,0,815661253
85,937255,9416,3244,0,818998289
85,937390,9289,3236,0,822335627
84,937500,9235,3181,0,825652860
81,937639,9216,3064,0,828973458
89,937535,9326,3050,0,832304584
82,937605,9224,3089,0,835635482
68,937667,9242,3023,0,838966038
66,937732,9113,3089,0,842291487
68,937674,9173,3085,0,845624673
86,937913,9032,2969,0,848947365
79,937798,9102,3021,0,852276248
87,937832,9049,3032,0,855620882
68,937935,9040,2957,0,858948459
65,937824,9091,3020,0,862270355
69,937545,9176,3210,0,865591165
73,937688,9179,3060,0,868916804
85,937500,9330,3085,0,872248558
75,937687,9194,3044,0,875575171
68,937675,9251,3006,0,878904199
62,937440,9377,3121,0,882245957
65,937436,9442,3057,0,885575322
57,937426,9601,2916,0,888909965
43,937355,9685,2917,0,892232757
42,937349,9715,2894,0,895559265
35,937288,9776,2901,0,898889900
38,937433,9672,2857,0,902207482
26,937154,9951,2869,0,905518999
23,937259,9773,2945,0,908860850
22,937226,9764,2988,0,912188590
21,937325,9681,2973,0,915517248
17,937351,9711,2921,0,918861529
18,937316,9724,2942,0,922182068
19,937258,9853,2870,0,925511980
16,937261,9747,2976,0,928839455
21,937274,9755,2950,0,932156124
19,937277,9710,2994,0,935485181
20,937186,9767,3027,0,938814931
14,937203,9725,3058,0,942134883
16,937090,9822,3072,0,945465076
13,937009,10004,2974,0,948800400
23,937020,10026,2931,0,952112365
19,936924,10023,3034,0,955436883
16,936758,10156,3070,0,958761247
15,936826,10032,3127,0,962083970
19,936734,10212,3035,0,965411450
18,936433,10353,3196,0,968718553
15,936385,10375,3225,0,972039436
15,936344,10408,3233,0,975364828
7,936325,10488,3180,0,978682642
7,936437,10345,3211,0,982010823
13,936435,10300,3252,0,985342554
16,936396,10345,3243,0,988664500
13,936329,10350,3308,0,991994511
14,936503,10220,3263,0,995307112
14,936634,10177,3175,0,998635005
16,936587,10300,3097,0,1001969946
22,936637,10331,3010,0,1005300035
18,936426,10479,3077,0,1008622073
7,936394,10491,3108,0,1011961030
10,936332,10523,3135,0,1015285520
8,936385,10400,3207,0,1018616556
11,936267,10474,3248,0,1021941031
8,936371,10496,3125,0,1025270426
5,936349,10580,3066,0,1028602261
3,936394,10458,3145,0,1031932434
2,936591,10390,3017,0,1035264870
4,936620,10321,3055,0,1038599012
3,936523,10322,3152,0,1041923071
4,936562,10457,2977,0,1045260334
6,936411,10651,2932,0,1048572223
5,936614,10546,2835,0,1051903394
5,936606,10572,2817,0,1055230200
