recipients,donors,transconjugants,segregadas,adaptations_number,cycle
8097,938517,608,2778,0,6280751
7809,938504,790,2897,0,9360007
7472,938663,1052,2813,0,12371067
7233,938727,1193,2847,0,15369410
6802,939058,1343,2797,0,18363143
6491,939372,1444,2693,0,21368589
6235,939466,1521,2778,0,24370374
5951,939816,1572,2661,0,27365129
5618,940186,1533,2663,0,30357161
5284,940442,1586,2688,0,33357110
5097,940682,1586,2635,0,36352439
4813,941005,1618,2564,0,39348476
4539,941282,1669,2510,0,42340696
4339,941518,1657,2486,0,45342083
4027,941872,1616,2485,0,48354523
3854,941989,1627,2530,0,51352264
3740,942229,1513,2518,0,54348389
3539,942455,1526,2480,0,57350278
3251,942712,1505,2532,0,60342109
3124,942908,1437,2531,0,63334879
2852,943233,1475,2440,0,66334872
2704,943458,1453,2385,0,69328123
2556,943698,1400,2346,0,72326131
2420,943798,1344,2438,0,75316157
2295,944018,1265,2422,0,78307762
2147,944354,1183,2316,0,81297580
2095,944460,1168,2277,0,84289874
1896,944635,1143,2326,0,87300703
1818,944721,1057,2404,0,90295353
1691,944789,1132,2388,0,93285284
1569,944889,1154,2388,0,96290400
1445,945052,1119,2384,0,99292871
1350,945154,1091,2405,0,102284986
1301,945311,1027,2361,0,105291114
1220,945612,938,2230,0,108301048
1099,945750,935,2216,0,111295614
1003,945955,888,2154,0,114290962
933,946016,896,2155,0,117285825
843,946135,853,2169,0,120284196
802,946232,799,2167,0,123286528
718,946355,788,2139,0,126279117
672,946493,758,2077,0,129269958
624,946611,687,2078,0,132264491
585,946518,692,2205,0,135253436
595,946421,662,2322,0,138255016
507,946494,727,2272,0,141250969
496,946531,713,2260,0,144235686
456,946589,675,2280,0,147230336
436,946707,677,2180,0,150225437
398,946760,665,2177,0,153222994
364,946706,649,2281,0,156214891
355,946658,660,2327,0,159217037
348,946656,631,2365,0,162210562
329,946670,657,2344,0,165194345
307,946716,671,2306,0,168177776
272,946657,705,2366,0,171187366
236,946734,665,2365,0,174180637
205,946757,594,2444,0,177177843
182,946901,592,2325,0,180173363
157,946894,609,2340,0,183171292
161,946850,639,2350,0,186163234
147,946888,615,2350,0,189165329
118,946931,640,2311,0,192165435
101,947031,616,2252,0,195166229
81,947156,606,2157,0,198166393
75,947187,569,2169,0,201160263
66,947125,583,2226,0,204156197
71,947013,595,2321,0,207143283
57,947187,628,2128,0,210136978
53,947185,614,2148,0,213142710
52,947355,608,1985,0,216136595
35,947282,626,2057,0,219118431
39,947336,579,2046,0,222109510
33,947350,539,2078,0,225105677
28,947420,509,2043,0,228098991
23,947436,549,1992,0,231109959
18,947386,524,2072,0,234101705
