recipients,donors,transconjugants,segregadas,adaptations_number,cycle
424244,452427,73237,92,0,6881695
370147,465908,113809,136,0,10470876
316984,484333,148522,161,0,14131425
264900,507542,177402,156,0,17926659
216741,533757,199344,158,0,21842401
173812,561822,214171,195,0,25875768
135821,592022,221970,187,0,29956969
103877,623943,221996,184,0,34092007
77917,655876,216023,184,0,38226560
57277,687486,205067,170,0,42326271
41175,718509,190096,220,0,46403672
29176,748052,172536,236,0,50437039
20344,774909,154559,188,0,54406554
13937,799415,136427,221,0,58284755
9066,821687,119051,196,0,62113610
5598,841201,102990,211,0,65867760
3432,858408,87957,203,0,69564369
1871,873627,74311,191,0,73196072
977,887103,61721,199,0,76795278
448,898097,51282,173,0,80335424
214,907799,41823,164,0,83814631
139,915714,33927,220,0,87285988
71,922286,27443,200,0,90718222
17,927834,21994,155,0,94136648
6,932183,17602,209,0,97538191
0,935740,14067,193,0,100914597
0,938573,11276,151,0,104290376
0,940849,8952,199,0,107636807
0,942663,7153,184,0,110977673
0,943847,5964,189,0,114316090
0,944971,4830,199,0,117657031
0,945782,4031,187,0,120989995
0,946446,3378,176,0,124328691
0,946919,2881,200,0,127661073
0,947329,2469,202,0,130989974
0,947580,2243,177,0,134329474
0,947745,2076,179,0,137660165
0,947881,1939,180,0,140992131
0,947968,1832,200,0,144328345
0,948016,1804,180,0,147658697
0,948030,1785,185,0,150977305
0,948088,1709,203,0,154297387
0,948132,1688,180,0,157628514
0,948246,1581,173,0,160962394
0,948229,1568,203,0,164294361
0,948280,1513,207,0,167618458
0,948272,1517,211,0,170948799
0,948271,1560,169,0,174280306
0,948257,1534,209,0,177618296
0,948259,1560,181,0,180949954
0,948268,1537,195,0,184297546
0,948268,1515,217,0,187628782
0,948279,1538,183,0,190960057
0,948235,1576,189,0,194300492
0,948170,1634,196,0,197639028
0,948158,1670,172,0,200971898
0,948123,1674,203,0,204310492
0,948157,1652,191,0,207652232
0,948260,1548,192,0,210988772
0,948241,1552,207,0,214315963
0,948197,1579,224,0,217650629
0,948256,1555,189,0,220978455
0,948244,1560,196,0,224297140
0,948289,1515,196,0,227602361
0,948293,1508,199,0,230933943
0,948229,1572,199,0,234247939
0,948241,1578,181,0,237577375
0,948166,1622,212,0,240918224
0,948145,1659,196,0,244254876
0,948194,1597,209,0,247592587
0,948170,1604,226,0,250923582
0,948167,1641,192,0,254255889
0,948125,1683,192,0,257587485
0,948199,1594,207,0,260925507
0,948264,1540,196,0,264242927
0,948231,1587,182,0,267572168
0,948156,1646,198,0,270917091
0,948220,1596,184,0,274247830
0,948254,1558,188,0,277586600
0,948266,1555,179,0,280907304
0,948244,1587,169,0,284242613
0,948208,1598,194,0,287560714
0,948130,1693,177,0,290895194
0,948118,1666,216,0,294225157
0,948182,1601,217,0,297550838
0,948118,1688,194,0,300879623
0,948153,1648,199,0,304194989
0,948133,1657,210,0,307513423
0,948175,1647,178,0,310852105
0,948296,1541,163,0,314189353
0,948296,1520,184,0,317505614
0,948228,1578,194,0,320837746
0,948283,1534,183,0,324170696
0,948244,1581,175,0,327501503
0,948185,1588,227,0,330841845
0,948173,1624,203,0,334186299
0,948222,1609,169,0,337519878
0,948173,1664,163,0,340856028
0,948162,1647,191,0,344187555
0,948189,1618,193,0,347523985
0,948169,1619,212,0,350862437
0,948202,1596,202,0,354182430
0,948256,1573,171,0,357515409
0,948200,1622,178,0,360842077
0,948205,1584,211,0,364172394
0,948296,1522,182,0,367499656
0,948211,1593,196,0,370824760
0,948273,1520,207,0,374157029
0,948264,1549,187,0,377491800
0,948246,1559,195,0,380829359
0,948171,1598,231,0,384161792
0,948214,1610,176,0,387499563
0,948274,1562,164,0,390835892
0,948281,1521,198,0,394165070
0,948228,1604,168,0,397496621
0,948228,1564,208,0,400836067
0,948254,1546,200,0,404183795
0,948172,1601,227,0,407502343
0,948183,1595,222,0,410832828
0,948131,1665,204,0,414168041
0,948133,1659,208,0,417489924
0,948113,1660,227,0,420816283
0,948074,1722,204,0,424142425
0,948143,1641,216,0,427486944
0,948118,1698,184,0,430819101
0,948179,1632,189,0,434145666
0,948213,1624,163,0,437466196
0,948254,1569,177,0,440786899
0,948208,1595,197,0,444122781
0,948221,1584,195,0,447450773
0,948189,1599,212,0,450787444
0,948177,1631,192,0,454110839
0,948215,1604,181,0,457440738
0,948213,1605,182,0,460767773
0,948176,1630,194,0,464097168
0,948142,1666,192,0,467415114
0,948175,1622,203,0,470753861
0,948295,1545,160,0,474094395
0,948247,1545,208,0,477429764
0,948154,1646,200,0,480769345
0,948200,1609,191,0,484095974
0,948268,1568,164,0,487420338
0,948203,1605,192,0,490758426
0,948236,1570,194,0,494091437
0,948171,1627,202,0,497429539
0,948177,1630,193,0,500764044
0,948192,1611,197,0,504096541
0,948212,1606,182,0,507423521
0,948207,1604,189,0,510747354
0,948184,1638,178,0,514091327
0,948183,1619,198,0,517419842
0,948131,1660,209,0,520749758
0,948094,1713,193,0,524078861
0,948107,1668,225,0,527406134
0,948111,1699,190,0,530747726
0,948098,1679,223,0,534066757
0,948192,1602,206,0,537405636
0,948175,1605,220,0,540740931
0,948166,1678,156,0,544071918
0,948225,1565,210,0,547399080
0,948284,1502,214,0,550729212
0,948347,1474,179,0,554070029
0,948354,1463,183,0,557387210
0,948391,1427,182,0,560715754
0,948329,1463,208,0,564045662
0,948346,1457,197,0,567384681
0,948218,1574,208,0,570712302
0,948234,1569,197,0,574051059
0,948210,1573,217,0,577391528
0,948170,1632,198,0,580722598
0,948248,1544,208,0,584064286
0,948159,1642,199,0,587407390
0,948109,1684,207,0,590730266
0,948119,1698,183,0,594067108
0,948211,1635,154,0,597401672
0,948318,1514,168,0,600735775
0,948335,1475,190,0,604067018
0,948284,1553,163,0,607403848
0,948187,1608,205,0,610741279
0,948230,1579,191,0,614074702
0,948235,1577,188,0,617406273
0,948190,1622,188,0,620728742
0,948247,1558,195,0,624069888
0,948299,1517,184,0,627401838
0,948262,1540,198,0,630735968
0,948231,1598,171,0,634074881
0,948222,1580,198,0,637398665
0,948215,1595,190,0,640724390
0,948214,1601,185,0,644048740
0,948247,1577,176,0,647385348
0,948296,1523,181,0,650710512
0,948234,1536,230,0,654044895
0,948272,1558,170,0,657380376
0,948229,1540,231,0,660709733
0,948278,1528,194,0,664041132
0,948205,1572,223,0,667354324
0,948251,1538,211,0,670688881
0,948195,1595,210,0,674020974
0,948204,1591,205,0,677348862
0,948182,1623,195,0,680672089
0,948126,1661,213,0,683999808
0,948227,1581,192,0,687338246
0,948209,1578,213,0,690676693
0,948204,1588,208,0,693993942
0,948196,1614,190,0,697320969
0,948238,1564,198,0,700665991
0,948122,1675,203,0,703995833
0,948133,1659,208,0,707324227
0,948185,1640,175,0,710662354
0,948190,1626,184,0,713992067
0,948226,1578,196,0,717322345
0,948269,1520,211,0,720659566
0,948223,1571,206,0,723993488
0,948285,1535,180,0,727331577
0,948314,1503,183,0,730666525
0,948298,1525,177,0,733989305
0,948209,1605,186,0,737305900
0,948115,1668,217,0,740639911
0,948131,1650,219,0,743976673
0,948162,1654,184,0,747295214
0,948188,1630,182,0,750619307
0,948172,1634,194,0,753952333
0,948182,1629,189,0,757296993
0,948255,1567,178,0,760622678
0,948227,1567,206,0,763945596
0,948281,1516,203,0,767271509
0,948304,1511,185,0,770614980
0,948279,1500,221,0,773938591
0,948311,1480,209,0,777272445
0,948274,1527,199,0,780611201
0,948281,1540,179,0,783947491
0,948246,1569,185,0,787284530
0,948295,1505,200,0,790606346
0,948336,1486,178,0,793934058
0,948287,1501,212,0,797250083
0,948258,1547,195,0,800585281
0,948251,1565,184,0,803924504
0,948289,1526,185,0,807261334
0,948333,1490,177,0,810598665
0,948335,1462,203,0,813944164
0,948333,1476,191,0,817267803
0,948236,1573,191,0,820586895
0,948212,1597,191,0,823922599
0,948091,1683,226,0,827266419
0,948094,1730,176,0,830600196
0,948182,1637,181,0,833928485
0,948156,1651,193,0,837261251
0,948222,1584,194,0,840594540
0,948255,1566,179,0,843922949
0,948263,1539,198,0,847249230
0,948209,1564,227,0,850585550
