recipients,donors,transconjugants,segregadas,adaptations_number,cycle
948719,963,317,1,0,6365449
948466,1019,515,0,0,9455564
948176,1079,745,0,0,12458891
947808,1138,1053,1,0,15461267
947372,1183,1445,0,0,18462682
946943,1288,1768,1,0,21457465
946482,1366,2152,0,0,24472883
946015,1481,2504,0,0,27473287
945397,1643,2960,0,0,30467434
944698,1766,3535,1,0,33477735
944044,1884,4072,0,0,36483323
943239,2044,4714,3,0,39487529
942456,2202,5340,2,0,42502110
941767,2437,5795,1,0,45504633
940848,2670,6481,1,0,48507760
939942,2889,7168,1,0,51510274
938879,3062,8057,2,0,54527117
937917,3330,8751,2,0,57542939
936951,3624,9423,2,0,60565639
935873,3875,10247,5,0,63596925
934577,4195,11226,2,0,66607532
933440,4533,12025,2,0,69632357
932135,4858,13004,3,0,72666988
930892,5211,13896,1,0,75694375
929568,5576,14853,3,0,78728602
928234,5972,15793,1,0,81754720
926642,6391,16960,7,0,84786094
925131,6776,18083,10,0,87820772
923722,7177,19097,4,0,90871440
922171,7585,20241,3,0,93924777
920565,7958,21470,7,0,96976139
918812,8394,22787,7,0,100035459
917098,8927,23967,8,0,103092912
915422,9345,25225,8,0,106157849
913465,9868,26659,8,0,109229712
911546,10393,28058,3,0,112288347
909339,10940,29715,6,0,115372754
907199,11444,31349,8,0,118440104
905010,11980,33000,10,0,121511476
902815,12636,34544,5,0,124593768
900816,13098,36081,5,0,127684770
898499,13747,37746,8,0,130768703
896220,14410,39362,8,0,133869164
893884,14961,41145,10,0,136954117
891368,15655,42966,11,0,140045594
888729,16339,44925,7,0,143148770
886379,16805,46811,5,0,146254150
883832,17561,48592,15,0,149379479
881330,18272,50390,8,0,152503836
878684,19009,52290,17,0,155636059
875914,19640,54428,18,0,158754833
873116,20451,56413,20,0,161874393
870379,21198,58402,21,0,165015384
867560,21996,60426,18,0,168176662
864739,22815,62425,21,0,171337661
861764,23669,64548,19,0,174490646
858903,24400,66680,17,0,177656212
856053,25247,68686,14,0,180834996
853051,26184,70746,19,0,184009811
849965,27274,72743,18,0,187186204
846777,28066,75144,13,0,190371115
843732,28927,77328,13,0,193567163
840709,29682,79595,14,0,196761371
837560,30510,81906,24,0,199970879
834582,31358,84039,21,0,203179965
831343,32263,86372,22,0,206406667
828322,33219,88434,25,0,209635330
824597,34127,91254,22,0,212859332
821311,35196,93474,19,0,216095036
817526,36262,96185,27,0,219347830
814113,37302,98567,18,0,222591898
810468,38167,101333,32,0,225840234
806912,39151,103907,30,0,229091326
803202,40095,106679,24,0,232363598
799560,41063,109347,30,0,235639426
795911,41993,112071,25,0,238913955
792369,43135,114460,36,0,242192234
788456,44179,117334,31,0,245468006
784759,45157,120050,34,0,248762809
781127,46419,122424,30,0,252061824
777345,47467,125165,23,0,255362475
773759,48535,127673,33,0,258685000
769979,49647,130349,25,0,262002071
766320,50776,132867,37,0,265331371
762272,51978,135727,23,0,268664120
758227,52945,138792,36,0,271999906
754180,54220,141560,40,0,275359260
750121,55299,144549,31,0,278696012
745982,56446,147530,42,0,282069801
741900,57695,150367,38,0,285430115
737693,58717,153548,42,0,288796870
733549,59626,156778,47,0,292171100
729610,60449,159901,40,0,295541215
725572,61516,162879,33,0,298926826
721860,62576,165522,42,0,302314678
718061,63324,168571,44,0,305708025
713826,64441,171689,44,0,309108682
709716,65272,174959,53,0,312502602
705865,66226,177865,44,0,315910839
701863,67211,180891,35,0,319313350
698122,67924,183910,44,0,322718879
693982,68741,187237,40,0,326120482
690091,69429,190433,47,0,329540793
685951,70086,193914,49,0,332966848
681987,70747,197223,43,0,336383575
678255,71390,200301,54,0,339787503
674070,72059,203819,52,0,343213782
670454,72609,206874,63,0,346650374
666402,73263,210264,71,0,350078574
662419,73852,213668,61,0,353514780
658416,74505,217038,41,0,356952027
654484,74962,220501,53,0,360379687
