recipients,donors,transconjugants,segregadas,adaptations_number,cycle
949296,702,2,0,0,6303522
949333,663,4,0,0,9389379
949314,682,4,0,0,12388494
949358,637,5,0,0,15375815
949381,612,7,0,0,18382215
949417,577,4,2,0,21384715
949420,577,3,0,0,24368133
949431,556,9,4,0,27363428
949442,545,9,4,0,30355588
949454,538,5,3,0,33342688
949412,573,5,10,0,36335815
949409,573,6,12,0,39333189
949436,543,8,13,0,42318083
949457,508,7,28,0,45321589
949451,522,5,22,0,48313099
949476,497,2,25,0,51301343
949500,465,4,31,0,54292523
949504,467,4,25,0,57274461
949470,492,6,32,0,60258329
949449,511,2,38,0,63259284
949415,540,6,39,0,66267852
949412,540,10,38,0,69255901
949431,522,10,37,0,72249175
949387,561,11,41,0,75246407
949381,554,17,48,0,78255428
949401,530,22,47,0,81247853
949386,522,30,62,0,84239026
949448,471,27,54,0,87230629
949452,471,24,53,0,90216245
949470,466,22,42,0,93212739
949465,476,25,34,0,96199962
949479,464,24,33,0,99202593
949509,445,13,33,0,102197471
949523,428,11,38,0,105203787
949535,411,13,41,0,108202418
949580,372,10,38,0,111195492
949594,364,7,35,0,114189605
949601,355,12,32,0,117180862
949619,343,8,30,0,120177364
949599,356,9,36,0,123167544
949619,337,10,34,0,126162003
949643,297,15,45,0,129162197
949661,280,14,45,0,132158816
949693,254,9,44,0,135151990
949726,224,6,44,0,138142916
949748,197,10,45,0,141146522
949734,206,8,52,0,144144591
949716,219,7,58,0,147135299
949719,218,7,56,0,150120007
949723,205,5,67,0,153105551
949752,180,4,64,0,156111592
949750,187,5,58,0,159118261
949756,171,4,69,0,162126240
949802,144,7,47,0,165114127
949789,146,6,59,0,168112572
949797,150,3,50,0,171104687
949811,154,2,33,0,174120078
949820,152,2,26,0,177102573
949836,137,2,25,0,180098798
949829,148,0,23,0,183102474
949817,148,1,34,0,186098880
949816,149,1,34,0,189102845
949835,140,1,24,0,192100961
949837,145,0,18,0,195100543
949826,142,2,30,0,198089219
949860,118,1,21,0,201076044
949875,101,1,23,0,204063757
949887,85,2,26,0,207059435
949889,87,2,22,0,210050553
949905,81,0,14,0,213045561
949912,73,0,15,0,216019116
949917,68,2,13,0,219004196
949913,65,3,19,0,221995564
949915,66,4,15,0,224981286
949922,61,6,11,0,227976188
949925,56,5,14,0,230963325
949920,61,2,17,0,233957422
949915,65,1,19,0,236953745
949922,63,1,14,0,239942343
949914,71,0,15,0,242939954
949904,71,2,23,0,245929817
949912,62,2,24,0,248919097
949900,68,4,28,0,251920746
949882,85,5,28,0,254908350
949898,72,2,28,0,257904468
949907,65,3,25,0,260897994
949903,64,5,28,0,263899980
949913,61,5,21,0,266907510
949908,70,5,17,0,269901174
949909,75,3,13,0,272910570
949915,68,4,13,0,275909027
949911,77,5,7,0,278891892
949906,84,3,7,0,281880833
949901,86,2,11,0,284877104
949901,84,1,14,0,287862148
949928,65,0,7,0,290855644
949937,56,0,7,0,293855510
949945,47,1,7,0,296847850
949951,42,1,6,0,299844935
949958,32,3,7,0,302844520
949953,34,5,8,0,305833460
949939,37,4,20,0,308836701
949929,36,8,27,0,311836237
949929,33,14,24,0,314826263
949926,27,15,32,0,317823901
949933,27,10,30,0,320819100
949927,29,16,28,0,323813766
949932,36,15,17,0,326814586
949938,32,6,24,0,329812789
949951,26,4,19,0,332800228
949962,23,4,11,0,335808239
949974,16,2,8,0,338805758
949963,19,1,17,0,341802694
949971,16,0,13,0,344791736
949972,15,0,13,0,347790655
949962,24,0,14,0,350779311
949954,35,0,11,0,353779519
949960,32,0,8,0,356791641
949967,23,0,10,0,359780442
949973,18,0,9,0,362770314
949982,10,0,8,0,365762819
949977,11,0,12,0,368753135
949986,7,0,7,0,371752767
949989,5,0,6,0,374745176
949986,5,0,9,0,377736428
949977,9,0,14,0,380736302
949976,10,0,14,0,383744670
949976,11,0,13,0,386734050
949980,14,0,6,0,389740553
949978,19,0,3,0,392740632
949979,16,0,5,0,395735387
949986,13,0,1,0,398727107
949991,9,0,0,0,401711689
949990,10,0,0,0,404714252
949989,11,0,0,0,407705206
949989,11,0,0,0,410705389
949985,15,0,0,0,413704865
949990,10,0,0,0,416689262
949993,7,0,0,0,419671847
949988,12,0,0,0,422665462
949989,11,0,0,0,425660489
949986,14,0,0,0,428649349
949985,15,0,0,0,431641989
949985,15,0,0,0,434643988
949987,13,0,0,0,437631410
949983,17,0,0,0,440619142
949984,16,0,0,0,443621381
949991,9,0,0,0,446618468
949994,6,0,0,0,449621040
949996,4,0,0,0,452606044
949994,6,0,0,0,455592450
949996,4,0,0,0,458580063
949999,1,0,0,0,461565450
949999,1,0,0,0,464566797
950000,0,0,0,0,467557907
